%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
1999 152 7 40 -999.00 -999.00 -999.00 -999.00 -999.00 4.47 86.90 25.11 101.42 0.00 0.24 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 7 45 -999.00 -999.00 -999.00 -999.00 -999.00 5.81 85.70 25.27 101.39 0.00 0.27 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 7 50 -999.00 -999.00 -999.00 -999.00 -999.00 3.58 84.00 25.38 101.42 0.00 0.24 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 7 55 -999.00 -999.00 -999.00 -999.00 -999.00 4.02 83.70 25.43 101.46 0.00 0.21 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.02 83.70 25.47 101.49 0.00 0.37 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 8 5 -999.00 -999.00 -999.00 -999.00 -999.00 3.58 82.70 25.69 101.52 0.00 0.37 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 8 10 -999.00 -999.00 -999.00 -999.00 -999.00 99999.00 81.10 25.98 99999.00 99999.00 0.40 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 8 15 -999.00 -999.00 -999.00 -999.00 -999.00 3.58 79.40 26.37 101.56 0.00 0.54 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 8 20 -999.00 -999.00 -999.00 -999.00 -999.00 4.02 78.90 26.49 99999.00 99999.00 0.28 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 8 25 -999.00 -999.00 -999.00 -999.00 -999.00 4.92 80.00 26.22 101.46 0.00 0.20 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 8 30 -999.00 -999.00 -999.00 -999.00 -999.00 4.47 80.70 25.89 99999.00 99999.00 0.19 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 8 35 -999.00 -999.00 -999.00 -999.00 -999.00 5.81 81.70 25.66 101.46 0.00 0.16 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 8 40 -999.00 -999.00 -999.00 -999.00 -999.00 5.81 80.90 25.76 99999.00 99999.00 0.33 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 8 45 -999.00 -999.00 -999.00 -999.00 -999.00 4.92 79.90 25.95 101.46 0.00 0.49 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 8 50 -999.00 -999.00 -999.00 -999.00 -999.00 4.47 78.50 26.35 101.46 0.00 0.51 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 8 55 -999.00 -999.00 -999.00 -999.00 -999.00 4.47 77.10 26.64 101.46 0.00 0.61 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.02 76.60 26.85 99999.00 99999.00 0.61 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 9 5 -999.00 -999.00 -999.00 -999.00 -999.00 4.02 75.30 27.19 101.52 0.00 0.66 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 9 10 -999.00 -999.00 -999.00 -999.00 -999.00 5.81 73.90 27.55 101.49 0.00 0.62 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 9 15 -999.00 -999.00 -999.00 -999.00 -999.00 6.71 73.30 27.80 101.49 0.00 0.63 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 9 20 -999.00 -999.00 -999.00 -999.00 -999.00 8.49 73.00 27.81 101.49 0.00 0.67 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 9 25 -999.00 -999.00 -999.00 -999.00 -999.00 7.15 73.00 27.82 101.49 0.00 0.72 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 9 30 -999.00 -999.00 -999.00 -999.00 -999.00 6.26 72.70 27.87 101.49 0.00 0.74 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 9 35 -999.00 -999.00 -999.00 -999.00 -999.00 6.26 71.40 28.00 101.46 0.00 0.68 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 9 40 -999.00 -999.00 -999.00 -999.00 -999.00 5.81 70.60 28.08 101.32 0.00 0.67 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 9 45 -999.00 -999.00 -999.00 -999.00 -999.00 6.26 67.93 28.21 101.25 0.00 0.72 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 9 50 -999.00 -999.00 -999.00 -999.00 -999.00 6.71 66.86 28.23 101.19 0.00 0.73 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 9 55 -999.00 -999.00 -999.00 -999.00 -999.00 6.71 65.56 28.28 101.12 0.00 0.74 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.71 64.70 28.32 101.08 0.00 0.75 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 10 5 -999.00 -999.00 -999.00 -999.00 -999.00 6.71 64.29 28.55 101.15 0.00 0.76 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 10 10 -999.00 -999.00 -999.00 -999.00 -999.00 7.60 63.00 28.76 101.08 0.00 0.77 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 10 15 -999.00 -999.00 -999.00 -999.00 -999.00 6.26 63.37 28.63 101.12 0.00 0.78 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 10 20 -999.00 -999.00 -999.00 -999.00 -999.00 6.71 63.20 28.73 101.19 0.00 0.79 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 10 25 -999.00 -999.00 -999.00 -999.00 -999.00 4.92 63.01 28.94 101.25 0.00 0.80 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 10 30 -999.00 -999.00 -999.00 -999.00 -999.00 6.71 62.07 29.16 101.25 0.00 0.80 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 10 35 -999.00 -999.00 -999.00 -999.00 -999.00 4.47 61.24 29.31 99999.00 99999.00 0.81 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 10 40 -999.00 -999.00 -999.00 -999.00 -999.00 99999.00 61.20 29.34 99999.00 99999.00 0.82 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 10 45 -999.00 -999.00 -999.00 -999.00 -999.00 5.81 61.29 29.36 101.29 0.00 0.83 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 10 50 -999.00 -999.00 -999.00 -999.00 -999.00 6.71 60.73 29.38 101.19 0.00 0.84 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
